season,week,half_life,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,7,50,JAX,CLE,-0.36323364375801,1.0,0,18.0,True
2014,7,50,WAS,TEN,0.0996764658664881,1.0,0,2.0,True
2014,7,50,DAL,NYG,0.1226731698945161,1.0,0,10.0,True
2014,7,50,DEN,SF,0.074431348456115,1.0,1,25.0,True
2014,7,50,PIT,HOU,-0.0480559213364734,1.0,-3,7.0,True
2014,7,100,NE,NYJ,0.1261340375913553,1.0,0,2.0,True
2014,7,100,BAL,ATL,0.0199331422309793,1.0,0,22.0,True
2014,7,100,BUF,MIN,0.2040709841929375,1.0,0,1.0,True
2014,7,100,CHI,MIA,0.0085913003524713,1.0,0,-13.0,False
2014,7,100,DET,NO,-0.0557399371077862,1.0,-7,1.0,True
2014,7,100,GB,CAR,0.0706444160332619,1.0,0,21.0,True
2014,7,100,IND,CIN,-0.0507617314255968,1.0,3,27.0,True
2014,7,100,JAX,CLE,-0.3586285875336046,1.0,0,18.0,True
2014,7,100,WAS,TEN,0.102100913969126,1.0,0,2.0,True
2014,7,100,DAL,NYG,0.1201101581456578,1.0,0,10.0,True
2014,7,100,DEN,SF,0.0734058421019116,1.0,1,25.0,True
2014,7,100,PIT,HOU,-0.0493084262309776,1.0,-3,7.0,True
2014,8,2,ATL,DET,0.0811084181949057,0.0,0,-1.0,False
2014,8,2,CAR,SEA,-0.1608119075648678,1.0,0,-4.0,False
2014,8,2,CIN,BAL,-0.2811363920862054,1.0,0,3.0,True
2014,8,2,JAX,MIA,-0.3428183140343108,1.0,0,-14.0,False
2014,8,2,NE,CHI,0.1557515127323381,1.0,3,28.0,True
2014,8,2,NYJ,BUF,-0.0238471064383233,1.0,3,-20.0,False
2014,8,2,TB,MIN,-0.1633093178996357,1.0,7,-6.0,False
2014,8,2,TEN,HOU,0.0767544515241286,1.0,1,-14.0,False
2014,8,2,ARI,PHI,-0.0666655863089541,1.0,-7,4.0,True
2014,8,2,PIT,IND,-0.1585897951355085,1.0,-1,17.0,True
2014,8,2,NO,GB,-0.1844816295280329,1.0,0,21.0,True
2014,8,2,DAL,WAS,0.278933328384407,1.0,0,-3.0,False
2014,8,4,ATL,DET,0.1024284007703033,0.0,0,-1.0,False
2014,8,4,CAR,SEA,-0.1694997696600694,1.0,0,-4.0,False
2014,8,4,CIN,BAL,-0.1454777289578073,1.0,0,3.0,True
2014,8,4,JAX,MIA,-0.3471230475558844,1.0,0,-14.0,False
2014,8,4,NE,CHI,0.1129812867439976,1.0,3,28.0,True
2014,8,4,NYJ,BUF,-0.0093357414373192,1.0,3,-20.0,False
2014,8,4,TB,MIN,-0.1256557500779288,1.0,7,-6.0,False
2014,8,4,TEN,HOU,0.0171623004560637,1.0,1,-14.0,False
2014,8,4,ARI,PHI,-0.0090913657942187,1.0,-7,4.0,True
2014,8,4,PIT,IND,-0.1296072505464765,1.0,-1,17.0,True
2014,8,4,NO,GB,-0.1717574187376846,1.0,0,21.0,True
2014,8,4,DAL,WAS,0.2144374457726199,1.0,0,-3.0,False
2014,8,6,ATL,DET,0.1099634703115687,0.0,0,-1.0,False
2014,8,6,CAR,SEA,-0.1723186848223483,1.0,0,-4.0,False
2014,8,6,CIN,BAL,-0.0969668892568254,1.0,0,3.0,True
2014,8,6,JAX,MIA,-0.3411961032695402,1.0,0,-14.0,False
2014,8,6,NE,CHI,0.0972047301310256,1.0,3,28.0,True
2014,8,6,NYJ,BUF,0.0001281294272118,1.0,3,-20.0,False
